hour,minute
4,44
5,6
5,26
5,37
5,48
6,0
6,14
6,25
6,38
6,45
6,52
6,58
7,4
7,12
7,19
7,26
7,35
7,45
7,55
8,5
8,15
8,25
8,35
8,45
8,55
9,5
9,15
9,25
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,35
17,45
17,55
18,5
18,16
18,27
18,37
18,47
18,57
19,7
19,17
19,27
19,38
19,49
20,0
20,9
20,22
20,35
20,50
21,4
21,17
21,30
21,42
21,55
22,6
22,18
22,30
22,42
22,55
23,6
23,19
23,32
23,42
23,56
0,8
0,30
