hour,minute
5,14
5,44
6,0
6,11
6,28
6,40
6,50
7,0
7,10
7,20
7,30
7,40
7,50
7,58
8,7
8,17
8,27
8,37
8,47
8,57
9,7
9,17
9,27
9,37
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,38
17,49
17,59
18,9
18,13
18,19
18,29
18,34
18,39
18,48
18,57
19,7
19,16
19,26
19,36
19,46
19,56
20,8
20,20
20,32
20,46
20,59
21,12
21,23
21,34
21,47
22,0
22,12
22,24
22,35
22,48
23,2
23,11
23,23
23,36
23,47
0,0
0,12
0,25
0,38
0,49
