hour,minute
4,44
5,6
5,26
5,44
5,57
6,9
6,16
6,24
6,30
6,34
6,38
6,42
6,46
6,50
6,55
6,59
7,4
7,9
7,14
7,18
7,22
7,27
7,31
7,36
7,41
7,45
7,50
7,54
7,58
8,2
8,6
8,10
8,16
8,23
8,31
8,40
8,47
8,56
9,6
9,12
9,19
9,26
9,32
9,38
9,46
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,35
17,45
17,53
18,1
18,8
18,16
18,23
18,31
18,39
18,47
18,55
19,3
19,10
19,17
19,24
19,31
19,38
19,45
19,52
20,0
20,8
20,16
20,27
20,35
20,43
20,52
21,0
21,10
21,21
21,31
21,42
21,54
22,6
22,17
22,30
22,42
22,55
23,6
23,19
23,32
23,42
23,56
0,8
0,30
