hour,minute
5,14
5,33
5,55
6,13
6,28
6,38
6,47
6,56
7,1
7,9
7,13
7,17
7,21
7,25
7,29
7,33
7,38
7,42
7,47
7,52
7,57
8,2
8,6
8,11
8,17
8,20
8,25
8,28
8,33
8,37
8,41
8,45
8,50
8,57
9,5
9,13
9,21
9,31
9,40
9,50
9,58
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,4
17,10
17,15
17,23
17,31
17,39
17,47
17,56
18,6
18,15
18,24
18,32
18,39
18,46
18,53
19,1
19,9
19,17
19,25
19,33
19,40
19,47
19,55
20,2
20,9
20,17
20,24
20,32
20,40
20,49
20,58
21,8
21,18
21,25
21,31
21,41
21,51
22,1
22,12
22,24
22,35
22,48
23,2
23,11
23,23
23,36
23,47
0,0
0,12
0,25
0,38
0,49
