hour,minute
5,13
5,47
6,11
6,31
6,38
6,50
6,58
7,5
7,12
7,21
7,31
7,41
7,51
8,1
8,11
8,21
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,41
17,51
18,1
18,10
18,14
18,24
18,34
18,44
18,54
19,4
19,14
19,25
19,36
19,47
19,55
20,8
20,16
20,21
20,29
20,37
20,51
21,4
21,17
21,29
21,41
21,53
22,5
22,16
22,29
22,42
22,52
23,5
23,19
23,28
23,42
23,55
0,8
0,16
0,29
0,41
0,53
