hour,minute
4,40
5,9
5,27
5,44
5,57
6,14
6,25
6,33
6,42
6,54
7,4
7,14
7,24
7,34
7,44
7,54
8,4
8,12
8,21
8,27
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,41
17,52
18,3
18,13
18,23
18,33
18,43
18,53
19,2
19,11
19,20
19,30
19,40
19,50
20,0
20,10
20,22
20,34
20,46
21,0
21,13
21,26
21,36
21,48
22,0
22,13
22,25
22,37
22,49
23,1
23,15
23,24
23,36
23,49
0,0
0,14
0,26
