hour,minute
5,13
5,44
6,3
6,10
6,21
6,29
6,36
6,45
6,55
7,4
7,9
7,14
7,18
7,22
7,27
7,32
7,37
7,41
7,45
7,49
7,53
7,57
8,1
8,5
8,9
8,13
8,18
8,22
8,26
8,32
8,38
8,42
8,47
8,52
8,58
9,5
9,12
9,18
9,24
9,32
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,40
17,47
17,55
18,2
18,10
18,17
18,25
18,33
18,41
18,49
18,56
19,3
19,10
19,17
19,24
19,31
19,38
19,46
19,54
20,2
20,8
20,13
20,21
20,29
20,38
20,47
20,56
21,2
21,7
21,17
21,28
21,36
21,41
21,53
22,4
22,16
22,29
22,36
22,42
22,52
23,5
23,19
23,28
23,42
23,55
0,8
0,16
0,29
0,41
0,53
