hour,minute
4,40
5,9
5,27
5,39
5,47
5,57
6,8
6,16
6,23
6,27
6,34
6,42
6,48
6,52
6,57
7,1
7,6
7,11
7,15
7,19
7,23
7,27
7,31
7,35
7,39
7,43
7,47
7,52
7,56
8,1
8,6
8,11
8,16
8,20
8,25
8,31
8,39
8,47
8,55
9,4
9,11
9,19
9,27
9,35
9,45
9,54
10,4
10,12
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,19
17,29
17,37
17,45
17,53
18,1
18,9
18,19
18,25
18,29
18,38
18,46
18,53
19,0
19,7
19,14
19,22
19,30
19,38
19,46
19,54
20,1
20,9
20,16
20,23
20,30
20,38
20,45
20,53
21,2
21,12
21,22
21,33
21,45
21,55
22,5
22,15
22,25
22,37
22,49
23,1
23,15
23,24
23,36
23,49
0,0
0,14
0,26
