hour,minute
4,40
5,2
5,22
5,33
5,44
5,56
6,10
6,20
6,33
6,40
6,47
6,54
7,0
7,7
7,14
7,21
7,31
7,41
7,51
8,1
8,11
8,21
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,41
17,51
18,1
18,11
18,23
18,33
18,43
18,53
19,3
19,13
19,23
19,34
19,45
19,56
20,5
20,18
20,31
20,46
21,0
21,13
21,26
21,38
21,51
22,2
22,14
22,26
22,38
22,51
23,2
23,15
23,28
23,38
23,52
0,4
0,26
