hour,minute
5,18
5,48
6,4
6,15
6,32
6,44
6,54
7,4
7,14
7,24
7,34
7,44
7,54
8,2
8,11
8,21
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,42
17,53
18,3
18,13
18,17
18,23
18,33
18,38
18,43
18,52
19,1
19,11
19,20
19,30
19,40
19,50
20,0
20,12
20,24
20,36
20,50
21,3
21,16
21,27
21,38
21,51
22,4
22,16
22,28
22,39
22,52
23,6
23,15
23,27
23,40
23,51
0,4
0,16
0,29
0,42
0,53
