hour,minute
4,40
5,2
5,22
5,40
5,53
6,5
6,12
6,20
6,26
6,30
6,34
6,38
6,42
6,46
6,51
6,55
7,0
7,5
7,10
7,14
7,18
7,23
7,27
7,32
7,37
7,41
7,46
7,50
7,54
7,58
8,2
8,6
8,12
8,19
8,27
8,36
8,43
8,52
9,2
9,8
9,15
9,21
9,27
9,34
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,41
17,49
17,57
18,4
18,12
18,19
18,27
18,35
18,43
18,51
18,59
19,6
19,13
19,20
19,27
19,34
19,41
19,48
19,56
20,4
20,12
20,23
20,31
20,39
20,48
20,56
21,6
21,17
21,27
21,38
21,50
22,2
22,13
22,26
22,38
22,51
23,2
23,15
23,28
23,38
23,52
0,4
0,26
