hour,minute
5,18
5,37
5,59
6,17
6,32
6,42
6,51
7,0
7,5
7,13
7,17
7,21
7,25
7,29
7,33
7,37
7,42
7,46
7,51
7,56
8,1
8,6
8,10
8,15
8,21
8,24
8,29
8,32
8,37
8,41
8,45
8,49
8,54
9,1
9,9
9,17
9,25
9,35
9,44
9,54
10,2
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,8
17,14
17,19
17,27
17,35
17,43
17,51
18,0
18,10
18,19
18,28
18,36
18,43
18,50
18,57
19,5
19,13
19,21
19,29
19,37
19,44
19,51
19,59
20,6
20,13
20,21
20,28
20,36
20,44
20,53
21,2
21,12
21,22
21,29
21,35
21,45
21,55
22,5
22,16
22,28
22,39
22,52
23,6
23,15
23,27
23,40
23,51
0,4
0,16
0,29
0,42
0,53
