hour,minute
4,43
5,4
5,25
5,36
5,47
5,59
6,13
6,23
6,36
6,43
6,50
6,56
7,2
7,10
7,17
7,24
7,33
7,43
7,53
8,3
8,13
8,23
8,33
8,43
8,53
9,3
9,13
9,23
9,33
9,43
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,43
17,53
18,3
18,14
18,26
18,36
18,46
18,56
19,6
19,16
19,26
19,37
19,48
19,59
20,7
20,20
20,33
20,49
21,3
21,16
21,29
21,41
21,53
22,5
22,17
22,28
22,41
22,54
23,4
23,17
23,31
23,40
23,54
0,7
0,28
