hour,minute
5,15
5,45
6,2
6,13
6,30
6,41
6,51
7,1
7,11
7,21
7,31
7,41
7,51
8,0
8,8
8,18
8,28
8,38
8,48
8,58
9,8
9,18
9,28
9,38
9,48
9,58
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,8
17,18
17,28
17,39
17,50
18,0
18,10
18,15
18,20
18,30
18,35
18,40
18,50
18,59
19,8
19,18
19,28
19,38
19,48
19,58
20,10
20,22
20,34
20,48
21,1
21,14
21,24
21,36
21,48
22,1
22,13
22,25
22,37
22,49
23,3
23,12
23,24
23,37
23,48
0,2
0,14
0,27
0,40
0,50
