hour,minute
4,43
5,4
5,25
5,42
5,56
6,7
6,15
6,22
6,29
6,33
6,37
6,41
6,45
6,49
6,54
6,58
7,3
7,7
7,12
7,16
7,21
7,26
7,30
7,34
7,39
7,44
7,49
7,53
7,57
8,1
8,5
8,9
8,14
8,21
8,30
8,38
8,45
8,54
9,4
9,10
9,17
9,24
9,30
9,36
9,44
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,43
17,52
17,59
18,7
18,14
18,22
18,30
18,38
18,46
18,54
19,1
19,8
19,15
19,22
19,29
19,36
19,43
19,51
19,59
20,7
20,15
20,26
20,34
20,42
20,50
20,59
21,8
21,19
21,29
21,41
21,53
22,5
22,16
22,28
22,41
22,54
23,4
23,17
23,31
23,40
23,54
0,7
0,28
