hour,minute
5,15
5,35
5,56
6,15
6,30
6,40
6,49
6,57
7,3
7,10
7,15
7,19
7,23
7,27
7,31
7,35
7,39
7,44
7,48
7,53
7,58
8,4
8,7
8,12
8,18
8,22
8,26
8,30
8,35
8,39
8,43
8,47
8,51
8,59
9,6
9,14
9,23
9,32
9,42
9,52
10,0
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,6
17,11
17,17
17,25
17,32
17,40
17,48
17,57
18,7
18,17
18,26
18,34
18,41
18,48
18,55
19,2
19,10
19,18
19,26
19,34
19,42
19,49
19,56
20,3
20,11
20,18
20,26
20,33
20,41
20,50
21,0
21,10
21,20
21,27
21,33
21,43
21,53
22,3
22,13
22,25
22,37
22,49
23,3
23,12
23,24
23,37
23,48
0,2
0,14
0,27
0,40
0,50
