hour,minute
4,34
5,9
5,31
5,45
6,2
6,16
6,29
6,44
6,56
7,5
7,25
7,45
7,16
7,37
7,58
8,5
8,15
8,25
8,35
8,45
8,55
9,5
9,15
9,25
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,28
17,42
17,56
18,7
18,22
18,33
18,46
18,57
19,55
19,7
19,21
19,35
19,46
19,59
20,10
20,20
20,34
20,47
21,3
21,14
21,29
21,44
22,0
22,14
22,33
22,53
23,6
23,19
23,30
23,49
0,4
