hour,minute
4,56
5,27
5,40
5,52
6,11
6,22
6,39
6,52
6,59
7,12
7,19
7,32
7,39
7,48
7,58
8,9
8,19
8,29
8,39
8,49
8,59
9,9
9,19
9,29
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,30
17,40
17,49
17,56
17,59
18,9
18,16
18,20
18,30
18,39
18,49
18,58
19,8
19,18
19,28
19,38
19,50
20,2
20,14
20,28
20,41
20,54
21,4
21,16
21,29
21,42
21,54
22,6
22,17
22,29
22,42
22,53
23,5
23,18
23,29
23,42
23,55
0,8
0,21
0,31
