hour,minute
4,34
5,9
5,31
5,46
6,1
6,15
6,23
6,36
6,47
6,56
7,7
7,15
7,27
7,36
7,45
7,53
8,1
8,9
8,19
8,28
8,38
8,50
8,59
9,28
9,45
9,8
9,17
9,35
9,55
10,5
10,25
10,35
10,45
10,55
10,15
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,57
17,10
17,22
17,35
17,47
17,59
18,9
18,21
18,31
18,43
18,52
19,4
19,15
19,26
19,36
19,48
19,56
20,9
20,22
20,35
20,47
20,57
21,8
21,23
21,41
21,53
22,14
22,35
22,55
23,5
23,19
23,30
23,49
0,4
