hour,minute
4,56
5,16
5,38
5,56
6,11
6,21
6,38
6,44
6,56
7,4
7,12
7,21
7,30
7,39
7,45
7,52
8,0
8,8
8,16
8,24
8,32
8,39
8,46
8,55
9,2
9,11
9,21
9,33
9,40
9,47
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,46
16,50
16,57
17,5
17,11
17,19
17,29
17,38
17,48
17,57
18,6
18,13
18,20
18,28
18,35
18,43
18,51
18,59
19,7
19,15
19,22
19,29
19,36
19,43
19,50
19,57
20,5
20,12
20,21
20,29
20,39
20,48
20,58
21,6
21,13
21,22
21,33
21,43
21,54
22,6
22,17
22,29
22,42
22,53
23,5
23,18
23,29
23,42
23,55
0,8
0,21
0,31
