hour,minute
4,37
4,58
5,19
5,30
5,41
5,53
6,7
6,17
6,30
6,37
6,44
6,50
6,56
7,4
7,11
7,18
7,27
7,37
7,47
7,57
8,7
8,17
8,27
8,37
8,47
8,57
9,7
9,17
9,27
9,37
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,37
17,47
17,57
18,8
18,20
18,30
18,40
18,50
19,0
19,10
19,20
19,31
19,42
19,53
20,1
20,14
20,27
20,43
20,57
21,10
21,23
21,35
21,47
21,59
22,11
22,22
22,35
22,48
22,58
23,11
23,25
23,34
23,48
0,1
0,22
