hour,minute
5,21
5,51
6,8
6,19
6,36
6,47
6,57
7,7
7,17
7,27
7,37
7,47
7,57
8,6
8,14
8,24
8,34
8,44
8,54
9,4
9,14
9,24
9,34
9,44
9,54
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,14
17,24
17,34
17,45
17,56
18,6
18,16
18,21
18,26
18,36
18,41
18,46
18,56
19,5
19,14
19,24
19,34
19,44
19,54
20,4
20,16
20,28
20,40
20,54
21,7
21,20
21,30
21,42
21,54
22,7
22,19
22,31
22,43
22,55
23,9
23,18
23,30
23,43
23,54
0,8
0,20
0,33
0,46
0,56
