hour,minute
4,37
4,58
5,19
5,36
5,50
6,1
6,9
6,16
6,23
6,27
6,31
6,35
6,39
6,43
6,48
6,52
6,57
7,1
7,6
7,10
7,15
7,20
7,24
7,28
7,33
7,38
7,43
7,47
7,51
7,55
7,59
8,3
8,8
8,15
8,24
8,32
8,39
8,48
8,58
9,4
9,11
9,18
9,24
9,30
9,38
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,37
17,46
17,53
18,1
18,8
18,16
18,24
18,32
18,40
18,48
18,55
19,2
19,9
19,16
19,23
19,30
19,37
19,45
19,53
20,1
20,9
20,20
20,28
20,36
20,44
20,53
21,2
21,13
21,23
21,35
21,47
21,59
22,10
22,22
22,35
22,48
22,58
23,11
23,25
23,34
23,48
0,1
0,22
