hour,minute
5,21
5,41
6,2
6,21
6,36
6,46
6,55
7,3
7,9
7,16
7,21
7,25
7,29
7,33
7,37
7,41
7,45
7,50
7,54
7,59
8,4
8,10
8,13
8,18
8,24
8,28
8,32
8,36
8,41
8,45
8,49
8,53
8,57
9,5
9,12
9,20
9,29
9,38
9,48
9,58
10,6
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,12
17,17
17,23
17,31
17,38
17,46
17,54
18,3
18,13
18,23
18,32
18,40
18,47
18,54
19,1
19,8
19,16
19,24
19,32
19,40
19,48
19,55
20,2
20,9
20,17
20,24
20,32
20,39
20,47
20,56
21,6
21,16
21,26
21,33
21,39
21,49
21,59
22,9
22,19
22,31
22,43
22,55
23,9
23,18
23,30
23,43
23,54
0,8
0,20
0,33
0,46
0,56
