駅名,路線,方向,平日・休日等,時刻表：時間,時刻表：分
北習志野,新京成本線,松戸方面,0,4,
北習志野,新京成本線,松戸方面,0,5,6
北習志野,新京成本線,松戸方面,0,5,26
北習志野,新京成本線,松戸方面,0,5,47
北習志野,新京成本線,松戸方面,0,6,6
北習志野,新京成本線,松戸方面,0,6,21
北習志野,新京成本線,松戸方面,0,6,31
北習志野,新京成本線,松戸方面,0,6,40
北習志野,新京成本線,松戸方面,0,6,48
北習志野,新京成本線,松戸方面,0,6,54
北習志野,新京成本線,松戸方面,0,7,1
北習志野,新京成本線,松戸方面,0,7,6
北習志野,新京成本線,松戸方面,0,7,10
北習志野,新京成本線,松戸方面,0,7,14
北習志野,新京成本線,松戸方面,0,7,18
北習志野,新京成本線,松戸方面,0,7,22
北習志野,新京成本線,松戸方面,0,7,26
北習志野,新京成本線,松戸方面,0,7,30
北習志野,新京成本線,松戸方面,0,7,35
北習志野,新京成本線,松戸方面,0,7,39
北習志野,新京成本線,松戸方面,0,7,44
北習志野,新京成本線,松戸方面,0,7,49
北習志野,新京成本線,松戸方面,0,7,55
北習志野,新京成本線,松戸方面,0,7,58
北習志野,新京成本線,松戸方面,0,8,3
北習志野,新京成本線,松戸方面,0,8,9
北習志野,新京成本線,松戸方面,0,8,"く
13"
北習志野,新京成本線,松戸方面,0,8,17
北習志野,新京成本線,松戸方面,0,8,"く
21"
北習志野,新京成本線,松戸方面,0,8,26
北習志野,新京成本線,松戸方面,0,8,"く
30"
北習志野,新京成本線,松戸方面,0,8,34
北習志野,新京成本線,松戸方面,0,8,"く
38"
北習志野,新京成本線,松戸方面,0,8,42
北習志野,新京成本線,松戸方面,0,8,50
北習志野,新京成本線,松戸方面,0,8,57
北習志野,新京成本線,松戸方面,0,9,5
北習志野,新京成本線,松戸方面,0,9,14
北習志野,新京成本線,松戸方面,0,9,23
北習志野,新京成本線,松戸方面,0,9,33
北習志野,新京成本線,松戸方面,0,9,43
北習志野,新京成本線,松戸方面,0,9,51
北習志野,新京成本線,松戸方面,0,9,59
北習志野,新京成本線,松戸方面,0,10,9
北習志野,新京成本線,松戸方面,0,10,19
北習志野,新京成本線,松戸方面,0,10,29
北習志野,新京成本線,松戸方面,0,10,39
北習志野,新京成本線,松戸方面,0,10,49
北習志野,新京成本線,松戸方面,0,10,59
北習志野,新京成本線,松戸方面,0,11,9
北習志野,新京成本線,松戸方面,0,11,19
北習志野,新京成本線,松戸方面,0,11,29
北習志野,新京成本線,松戸方面,0,11,39
北習志野,新京成本線,松戸方面,0,11,49
北習志野,新京成本線,松戸方面,0,11,59
北習志野,新京成本線,松戸方面,0,12,9
北習志野,新京成本線,松戸方面,0,12,19
北習志野,新京成本線,松戸方面,0,12,29
北習志野,新京成本線,松戸方面,0,12,39
北習志野,新京成本線,松戸方面,0,12,49
北習志野,新京成本線,松戸方面,0,12,59
北習志野,新京成本線,松戸方面,0,13,9
北習志野,新京成本線,松戸方面,0,13,19
北習志野,新京成本線,松戸方面,0,13,29
北習志野,新京成本線,松戸方面,0,13,39
北習志野,新京成本線,松戸方面,0,13,49
北習志野,新京成本線,松戸方面,0,13,59
北習志野,新京成本線,松戸方面,0,14,9
北習志野,新京成本線,松戸方面,0,14,19
北習志野,新京成本線,松戸方面,0,14,29
北習志野,新京成本線,松戸方面,0,14,39
北習志野,新京成本線,松戸方面,0,14,49
北習志野,新京成本線,松戸方面,0,14,59
北習志野,新京成本線,松戸方面,0,15,9
北習志野,新京成本線,松戸方面,0,15,19
北習志野,新京成本線,松戸方面,0,15,29
北習志野,新京成本線,松戸方面,0,15,39
北習志野,新京成本線,松戸方面,0,15,49
北習志野,新京成本線,松戸方面,0,15,59
北習志野,新京成本線,松戸方面,0,16,9
北習志野,新京成本線,松戸方面,0,16,19
北習志野,新京成本線,松戸方面,0,16,29
北習志野,新京成本線,松戸方面,0,16,39
北習志野,新京成本線,松戸方面,0,16,49
北習志野,新京成本線,松戸方面,0,16,57
北習志野,新京成本線,松戸方面,0,17,"く
02"
北習志野,新京成本線,松戸方面,0,17,8
北習志野,新京成本線,松戸方面,0,17,16
北習志野,新京成本線,松戸方面,0,17,23
北習志野,新京成本線,松戸方面,0,17,31
北習志野,新京成本線,松戸方面,0,17,39
北習志野,新京成本線,松戸方面,0,17,48
北習志野,新京成本線,松戸方面,0,17,58
北習志野,新京成本線,松戸方面,0,18,8
北習志野,新京成本線,松戸方面,0,18,17
北習志野,新京成本線,松戸方面,0,18,25
北習志野,新京成本線,松戸方面,0,18,32
北習志野,新京成本線,松戸方面,0,18,39
北習志野,新京成本線,松戸方面,0,18,46
北習志野,新京成本線,松戸方面,0,18,53
北習志野,新京成本線,松戸方面,0,19,1
北習志野,新京成本線,松戸方面,0,19,9
北習志野,新京成本線,松戸方面,0,19,17
北習志野,新京成本線,松戸方面,0,19,25
北習志野,新京成本線,松戸方面,0,19,33
北習志野,新京成本線,松戸方面,0,19,40
北習志野,新京成本線,松戸方面,0,19,47
北習志野,新京成本線,松戸方面,0,19,54
北習志野,新京成本線,松戸方面,0,20,2
北習志野,新京成本線,松戸方面,0,20,9
北習志野,新京成本線,松戸方面,0,20,17
北習志野,新京成本線,松戸方面,0,20,24
北習志野,新京成本線,松戸方面,0,20,32
北習志野,新京成本線,松戸方面,0,20,41
北習志野,新京成本線,松戸方面,0,20,51
北習志野,新京成本線,松戸方面,0,21,1
北習志野,新京成本線,松戸方面,0,21,11
北習志野,新京成本線,松戸方面,0,21,"く
18"
北習志野,新京成本線,松戸方面,0,21,24
北習志野,新京成本線,松戸方面,0,21,34
北習志野,新京成本線,松戸方面,0,21,44
北習志野,新京成本線,松戸方面,0,21,54
北習志野,新京成本線,松戸方面,0,22,4
北習志野,新京成本線,松戸方面,0,22,16
北習志野,新京成本線,松戸方面,0,22,28
北習志野,新京成本線,松戸方面,0,22,40
北習志野,新京成本線,松戸方面,0,22,54
北習志野,新京成本線,松戸方面,0,23,3
北習志野,新京成本線,松戸方面,0,23,15
北習志野,新京成本線,松戸方面,0,23,28
北習志野,新京成本線,松戸方面,0,23,39
北習志野,新京成本線,松戸方面,0,23,53
北習志野,新京成本線,松戸方面,0,0,5
北習志野,新京成本線,松戸方面,0,0,"く
18"
北習志野,新京成本線,松戸方面,0,0,"く
31"
北習志野,新京成本線,松戸方面,0,0,"く
41"
北習志野,新京成本線,松戸方面,0,1,
北習志野,新京成本線,京成津田沼方面,0,4,52
北習志野,新京成本線,京成津田沼方面,0,5,13
北習志野,新京成本線,京成津田沼方面,0,5,34
北習志野,新京成本線,京成津田沼方面,0,5,51
北習志野,新京成本線,京成津田沼方面,0,6,5
北習志野,新京成本線,京成津田沼方面,0,6,16
北習志野,新京成本線,京成津田沼方面,0,6,25
北習志野,新京成本線,京成津田沼方面,0,6,32
北習志野,新京成本線,京成津田沼方面,0,6,"新
39"
北習志野,新京成本線,京成津田沼方面,0,6,43
北習志野,新京成本線,京成津田沼方面,0,6,"新
47"
北習志野,新京成本線,京成津田沼方面,0,6,51
