hour,minute
4,35
4,56
5,17
5,28
5,39
5,51
6,5
6,15
6,28
6,35
6,42
6,48
6,54
7,2
7,9
7,16
7,25
7,35
7,45
7,55
8,5
8,15
8,25
8,35
8,45
8,55
9,5
9,15
9,25
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,35
17,45
17,55
18,6
18,17
18,27
18,37
18,47
18,57
19,7
19,17
19,28
19,39
19,50
19,59
20,12
20,25
20,40
20,54
21,7
21,20
21,32
21,45
21,56
22,8
22,20
22,32
22,45
22,56
23,9
23,22
23,32
23,46
23,58
0,20
