hour,minute
4,37
5,5
5,24
5,41
5,54
6,10
6,22
6,30
6,39
6,50
7,0
7,10
7,20
7,30
7,40
7,50
8,0
8,9
8,17
8,23
8,27
8,37
8,47
8,57
9,7
9,17
9,27
9,37
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,37
17,48
18,0
18,10
18,20
18,30
18,40
18,50
18,59
19,7
19,17
19,26
19,36
19,46
19,56
20,6
20,18
20,30
20,42
20,56
21,9
21,22
21,33
21,44
21,57
22,10
22,22
22,34
22,45
22,58
23,12
23,21
23,33
23,46
23,57
0,10
0,22
