hour,minute
4,35
4,56
5,17
5,34
5,48
5,59
6,6
6,14
6,20
6,24
6,28
6,32
6,36
6,40
6,45
6,49
6,54
6,59
7,4
7,8
7,12
7,17
7,21
7,26
7,31
7,35
7,40
7,44
7,48
7,52
7,56
8,0
8,6
8,13
8,21
8,30
8,37
8,46
8,56
9,2
9,9
9,16
9,22
9,28
9,36
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,35
17,43
17,51
17,58
18,6
18,13
18,21
18,29
18,37
18,45
18,53
19,0
19,7
19,14
19,21
19,28
19,35
19,42
19,50
19,58
20,6
20,17
20,25
20,33
20,42
20,50
21,0
21,11
21,21
21,32
21,44
21,56
22,7
22,20
22,32
22,45
22,56
23,9
23,22
23,32
23,46
23,58
0,20
