hour,minute
4,37
5,5
5,24
5,35
5,43
5,53
6,5
6,12
6,20
6,24
6,31
6,39
6,44
6,49
6,53
6,58
7,3
7,7
7,12
7,16
7,20
7,24
7,28
7,32
7,36
7,40
7,44
7,48
7,53
7,57
8,2
8,7
8,13
8,17
8,22
8,28
8,35
8,44
8,52
9,0
9,8
9,15
9,23
9,32
9,41
9,51
10,1
10,9
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,16
17,26
17,34
17,42
17,49
17,57
18,6
18,16
18,21
18,26
18,34
18,42
18,49
18,56
19,3
19,11
19,19
19,27
19,35
19,43
19,50
19,58
20,6
20,12
20,19
20,27
20,34
20,42
20,50
20,59
21,8
21,18
21,29
21,41
21,51
22,1
22,11
22,22
22,34
22,45
22,58
23,12
23,21
23,33
23,46
23,57
0,10
0,22
