hour,minute
4,56
5,18
5,38
5,49
6,0
6,12
6,26
6,37
6,50
6,57
7,4
7,11
7,17
7,24
7,31
7,38
7,48
7,58
8,8
8,18
8,28
8,38
8,48
8,58
9,8
9,18
9,28
9,38
9,48
9,58
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,8
17,18
17,28
17,38
17,48
17,58
18,8
18,18
18,28
18,39
18,49
18,59
19,9
19,19
19,29
19,39
19,50
20,1
20,12
20,21
20,34
20,47
21,2
21,16
21,29
21,42
21,54
22,7
22,18
22,30
22,42
22,54
23,7
23,18
23,31
23,44
23,54
0,8
0,20
0,42
