hour,minute
5,2
5,32
5,48
5,59
6,16
6,27
6,37
6,47
6,57
7,7
7,17
7,27
7,37
7,46
7,54
8,4
8,14
8,24
8,34
8,44
8,54
9,4
9,14
9,24
9,34
9,44
9,54
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,14
17,25
17,36
17,46
17,56
18,1
18,6
18,16
18,21
18,26
18,36
18,45
18,54
19,4
19,14
19,24
19,34
19,44
19,56
20,8
20,20
20,34
20,47
21,0
21,10
21,22
21,34
21,47
21,59
22,11
22,23
22,35
22,49
22,58
23,10
23,23
23,34
23,48
0,0
0,13
0,26
0,37
