hour,minute
4,56
5,18
5,38
5,56
6,9
6,21
6,30
6,37
6,44
6,48
6,52
6,56
7,0
7,4
7,9
7,13
7,18
7,22
7,27
7,31
7,36
7,41
7,45
7,49
7,54
7,59
8,4
8,8
8,12
8,16
8,20
8,24
8,29
8,36
8,45
8,53
9,0
9,9
9,19
9,25
9,32
9,38
9,44
9,51
9,58
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,8
17,18
17,28
17,37
17,47
17,57
18,5
18,13
18,20
18,28
18,35
18,43
18,51
18,59
19,7
19,15
19,22
19,29
19,36
19,43
19,50
19,57
20,4
20,12
20,20
20,28
20,39
20,47
20,55
21,4
21,12
21,22
21,33
21,43
21,54
22,6
22,18
22,29
22,42
22,54
23,7
23,18
23,31
23,44
23,54
0,8
0,20
0,42
