hour,minute
5,2
5,21
5,43
6,1
6,16
6,26
6,35
6,44
6,49
6,57
7,1
7,5
7,9
7,13
7,17
7,21
7,26
7,30
7,35
7,40
7,45
7,50
7,54
7,59
8,5
8,8
8,13
8,16
8,21
8,25
8,29
8,33
8,37
8,45
8,52
9,0
9,9
9,18
9,28
9,38
9,46
9,54
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,52
16,57
17,3
17,11
17,18
17,26
17,34
17,43
17,53
18,3
18,12
18,20
18,27
18,34
18,41
18,48
18,56
19,4
19,12
19,20
19,28
19,35
19,42
19,49
19,57
20,4
20,12
20,19
20,27
20,36
20,46
20,56
21,6
21,13
21,19
21,29
21,39
21,49
21,59
22,11
22,23
22,35
22,49
22,58
23,10
23,23
23,34
23,48
0,0
0,13
0,26
0,37
