hour,minute
5,2
5,36
6,0
6,20
6,27
6,39
6,47
6,54
7,1
7,10
7,20
7,30
7,40
7,50
8,0
8,10
8,20
8,30
8,40
8,50
9,0
9,10
9,20
9,30
9,40
9,50
10,0
10,10
10,20
10,30
10,40
10,50
11,0
11,10
11,20
11,30
11,40
11,50
12,0
12,10
12,20
12,30
12,40
12,50
13,0
13,10
13,20
13,30
13,40
13,50
14,0
14,10
14,20
14,30
14,40
14,50
15,0
15,10
15,20
15,30
15,40
15,50
16,0
16,10
16,20
16,30
16,40
16,50
17,0
17,10
17,20
17,30
17,40
17,50
17,59
18,3
18,13
18,23
18,33
18,43
18,53
19,3
19,14
19,25
19,36
19,44
19,57
20,5
20,10
20,18
20,26
20,40
20,53
21,6
21,18
21,30
21,42
21,54
22,5
22,18
22,31
22,41
22,54
23,8
23,17
23,31
23,44
23,57
0,6
0,18
0,30
0,42
