hour,minute
5,2
5,33
5,52
5,59
6,10
6,18
6,25
6,34
6,44
6,53
6,58
7,3
7,7
7,11
7,16
7,21
7,26
7,30
7,34
7,38
7,42
7,46
7,50
7,54
7,58
8,2
8,7
8,11
8,15
8,21
8,27
8,31
8,36
8,41
8,47
8,54
9,1
9,7
9,13
9,21
9,30
9,40
9,50
10,0
10,10
10,20
10,30
10,40
10,50
11,0
11,10
11,20
11,30
11,40
11,50
12,0
12,10
12,20
12,30
12,40
12,50
13,0
13,10
13,20
13,30
13,40
13,50
14,0
14,10
14,20
14,30
14,40
14,50
15,0
15,10
15,20
15,30
15,40
15,50
16,0
16,10
16,20
16,30
16,40
16,50
17,0
17,10
17,20
17,29
17,36
17,44
17,51
17,59
18,6
18,14
18,22
18,30
18,38
18,45
18,52
18,59
19,6
19,13
19,20
19,27
19,35
19,43
19,51
19,57
20,2
20,10
20,18
20,27
20,36
20,45
20,51
20,56
21,6
21,17
21,25
21,30
21,42
21,53
22,5
22,18
22,25
22,31
22,41
22,54
23,8
23,17
23,31
23,44
23,57
0,6
0,18
0,30
0,42
