hour,minute
5,6
5,40
6,3
6,23
6,30
6,42
6,50
6,57
7,4
7,14
7,24
7,34
7,44
7,54
8,4
8,14
8,24
8,34
8,44
8,54
9,4
9,14
9,24
9,34
9,44
9,54
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,14
17,24
17,34
17,44
17,54
18,2
18,6
18,16
18,26
18,36
18,46
18,56
19,6
19,17
19,28
19,39
19,48
20,0
20,8
20,13
20,22
20,29
20,43
20,56
21,9
21,21
21,34
21,45
21,57
22,9
22,21
22,34
22,45
22,58
23,11
23,21
23,35
23,47
0,1
0,9
0,21
0,33
0,45
