hour,minute
4,47
5,16
5,34
5,51
6,4
6,21
6,33
6,41
6,50
7,1
7,11
7,21
7,31
7,41
7,51
8,1
8,11
8,20
8,28
8,34
8,38
8,48
8,58
9,8
9,18
9,28
9,38
9,48
9,58
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,8
17,18
17,28
17,38
17,48
17,59
18,11
18,21
18,31
18,41
18,51
19,1
19,10
19,18
19,27
19,37
19,47
19,57
20,7
20,17
20,29
20,41
20,53
21,7
21,20
21,33
21,43
21,55
22,7
22,20
22,32
22,44
22,56
23,8
23,22
23,31
23,43
23,56
0,7
0,21
0,33
