hour,minute
5,6
5,37
5,55
6,3
6,13
6,21
6,28
6,38
6,48
6,56
7,1
7,6
7,10
7,15
7,20
7,24
7,29
7,33
7,37
7,41
7,45
7,49
7,53
7,57
8,1
8,6
8,10
8,15
8,19
8,25
8,30
8,34
8,39
8,45
8,51
8,58
9,4
9,10
9,17
9,24
9,34
9,44
9,54
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,14
17,24
17,32
17,40
17,47
17,55
18,2
18,10
18,18
18,26
18,34
18,41
18,48
18,55
19,2
19,9
19,16
19,23
19,31
19,39
19,47
19,55
20,1
20,6
20,14
20,22
20,30
20,39
20,48
20,55
21,0
21,10
21,20
21,28
21,33
21,45
21,56
22,9
22,21
22,28
22,34
22,45
22,58
23,11
23,21
23,35
23,47
0,1
0,9
0,21
0,33
0,45
