hour,minute
4,47
5,16
5,34
5,46
5,54
6,4
6,15
6,23
6,30
6,35
6,42
6,50
6,56
7,0
7,5
7,9
7,14
7,19
7,23
7,27
7,31
7,35
7,39
7,43
7,47
7,51
7,55
8,0
8,4
8,9
8,14
8,19
8,24
8,28
8,33
8,39
8,47
8,55
9,3
9,11
9,19
9,26
9,34
9,43
9,52
10,2
10,12
10,20
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,8
17,18
17,27
17,37
17,45
17,53
18,0
18,8
18,16
18,26
18,32
18,36
18,45
18,53
19,0
19,7
19,14
19,21
19,29
19,37
19,45
19,53
20,1
20,8
20,16
20,23
20,30
20,37
20,45
20,52
21,0
21,9
21,19
21,29
21,40
21,52
22,2
22,12
22,22
22,32
22,44
22,56
23,8
23,22
23,31
23,43
23,56
0,7
0,21
0,33
