hour,minute
5,7
5,41
6,5
6,25
6,32
6,44
6,52
6,59
7,6
7,15
7,25
7,35
7,45
7,55
8,5
8,15
8,25
8,35
8,45
8,55
9,5
9,15
9,25
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,35
17,45
17,55
18,4
18,8
18,18
18,28
18,38
18,48
18,58
19,8
19,19
19,30
19,41
19,49
20,2
20,10
20,15
20,23
20,31
20,45
20,58
21,11
21,23
21,35
21,47
21,59
22,10
22,23
22,36
22,46
22,59
23,13
23,22
23,36
23,49
0,2
0,10
0,23
0,35
0,47
