hour,minute
4,46
5,14
5,33
5,50
6,3
6,20
6,31
6,39
6,48
7,0
7,10
7,20
7,30
7,40
7,50
8,0
8,10
8,18
8,27
8,33
8,37
8,47
8,57
9,7
9,17
9,27
9,37
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,37
17,47
17,58
18,9
18,19
18,29
18,39
18,49
18,59
19,8
19,17
19,26
19,36
19,46
19,56
20,6
20,16
20,28
20,40
20,52
21,6
21,19
21,32
21,42
21,54
22,6
22,19
22,31
22,43
22,55
23,7
23,21
23,30
23,42
23,55
0,6
0,20
0,32
