hour,minute
5,7
5,38
5,56
6,4
6,14
6,22
6,29
6,39
6,49
6,57
7,2
7,7
7,11
7,16
7,21
7,25
7,30
7,34
7,38
7,42
7,46
7,50
7,54
7,58
8,2
8,7
8,11
8,16
8,20
8,26
8,32
8,36
8,40
8,46
8,52
8,59
9,6
9,12
9,18
9,26
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,34
17,41
17,49
17,56
18,4
18,11
18,19
18,27
18,35
18,43
18,50
18,57
19,4
19,11
19,18
19,25
19,32
19,40
19,48
19,56
20,2
20,7
20,15
20,23
20,32
20,41
20,50
20,56
21,1
21,11
21,22
21,30
21,35
21,47
21,58
22,10
22,23
22,30
22,36
22,46
22,59
23,13
23,22
23,36
23,49
0,2
0,10
0,23
0,35
0,47
