hour,minute
4,46
5,14
5,33
5,44
5,53
6,2
6,14
6,21
6,29
6,34
6,41
6,49
6,54
6,59
7,3
7,8
7,13
7,17
7,22
7,26
7,30
7,34
7,38
7,42
7,46
7,50
7,54
7,58
8,3
8,7
8,12
8,17
8,23
8,27
8,32
8,38
8,45
8,53
9,1
9,10
9,17
9,25
9,33
9,41
9,51
10,0
10,10
10,18
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,25
17,35
17,43
17,51
17,59
18,7
18,15
18,25
18,31
18,35
18,44
18,52
18,59
19,6
19,13
19,20
19,28
19,36
19,44
19,52
20,0
20,7
20,15
20,22
20,29
20,36
20,44
20,51
20,59
21,8
21,18
21,28
21,39
21,51
22,1
22,11
22,21
22,31
22,43
22,55
23,7
23,21
23,30
23,42
23,55
0,6
0,20
0,32
