hour,minute
4,46
5,7
5,28
5,39
5,50
6,2
6,16
6,26
6,39
6,46
6,53
6,59
7,5
7,13
7,20
7,27
7,36
7,46
7,56
8,6
8,16
8,26
8,36
8,46
8,56
9,6
9,16
9,26
9,36
9,46
9,56
10,6
10,16
10,26
10,36
10,46
10,56
11,6
11,16
11,26
11,36
11,46
11,56
12,6
12,16
12,26
12,36
12,46
12,56
13,6
13,16
13,26
13,36
13,46
13,56
14,6
14,16
14,26
14,36
14,46
14,56
15,6
15,16
15,26
15,36
15,46
15,56
16,6
16,16
16,26
16,36
16,46
16,56
17,6
17,16
17,26
17,36
17,46
17,56
18,6
18,17
18,29
18,39
18,49
18,59
19,9
19,19
19,29
19,40
19,51
20,2
20,10
20,23
20,36
20,52
21,6
21,19
21,32
21,44
21,56
22,8
22,20
22,31
22,44
22,57
23,7
23,20
23,34
23,43
23,57
0,10
0,31
