hour,minute
5,12
5,42
5,59
6,10
6,27
6,38
6,48
6,58
7,8
7,18
7,28
7,38
7,48
7,57
8,5
8,15
8,25
8,35
8,45
8,55
9,5
9,15
9,25
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,36
17,47
17,57
18,7
18,12
18,17
18,27
18,32
18,37
18,47
18,56
19,5
19,15
19,25
19,35
19,45
19,55
20,7
20,19
20,31
20,45
20,58
21,11
21,21
21,33
21,45
21,58
22,10
22,22
22,34
22,46
23,0
23,9
23,21
23,34
23,45
23,59
0,11
0,24
0,37
0,47
