hour,minute
4,46
5,7
5,28
5,45
5,59
6,10
6,18
6,25
6,32
6,36
6,40
6,44
6,48
6,52
6,57
7,1
7,6
7,10
7,15
7,19
7,24
7,29
7,33
7,37
7,42
7,47
7,52
7,56
8,0
8,4
8,8
8,12
8,17
8,24
8,33
8,41
8,48
8,57
9,7
9,13
9,20
9,27
9,33
9,39
9,47
9,56
10,6
10,16
10,26
10,36
10,46
10,56
11,6
11,16
11,26
11,36
11,46
11,56
12,6
12,16
12,26
12,36
12,46
12,56
13,6
13,16
13,26
13,36
13,46
13,56
14,6
14,16
14,26
14,36
14,46
14,56
15,6
15,16
15,26
15,36
15,46
15,56
16,6
16,16
16,26
16,36
16,46
16,56
17,6
17,16
17,26
17,36
17,46
17,55
18,2
18,10
18,17
18,25
18,33
18,41
18,49
18,57
19,4
19,11
19,18
19,25
19,32
19,39
19,46
19,54
20,2
20,10
20,18
20,29
20,37
20,45
20,53
21,2
21,11
21,22
21,32
21,44
21,56
22,8
22,19
22,31
22,44
22,57
23,7
23,20
23,34
23,43
23,57
0,10
0,31
