hour,minute
5,12
5,32
5,53
6,12
6,27
6,37
6,46
6,54
7,0
7,7
7,12
7,16
7,20
7,24
7,28
7,32
7,36
7,41
7,45
7,50
7,55
8,1
8,4
8,9
8,15
8,19
8,23
8,27
8,32
8,36
8,40
8,44
8,48
8,56
9,3
9,11
9,20
9,29
9,39
9,49
9,57
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,3
17,8
17,14
17,22
17,29
17,37
17,45
17,54
18,4
18,14
18,23
18,31
18,38
18,45
18,52
18,59
19,7
19,15
19,23
19,31
19,39
19,46
19,53
20,0
20,8
20,15
20,23
20,30
20,38
20,47
20,57
21,7
21,17
21,24
21,30
21,40
21,50
22,0
22,10
22,22
22,34
22,46
23,0
23,9
23,21
23,34
23,45
23,59
0,11
0,24
0,37
0,47
