hour,minute
5,15
5,49
6,13
6,33
6,40
6,52
7,0
7,7
7,14
7,23
7,33
7,43
7,53
8,3
8,13
8,23
8,33
8,43
8,53
9,3
9,13
9,23
9,33
9,43
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,43
17,53
18,3
18,12
18,16
18,26
18,36
18,46
18,56
19,6
19,16
19,27
19,38
19,49
19,57
20,10
20,18
20,23
20,31
20,39
20,53
21,6
21,19
21,31
21,43
21,55
22,7
22,18
22,31
22,44
22,54
23,7
23,21
23,30
23,44
23,57
0,10
0,18
0,31
0,43
0,54
