hour,minute
4,38
5,7
5,25
5,42
5,55
6,12
6,23
6,31
6,40
6,52
7,2
7,12
7,22
7,32
7,42
7,52
8,2
8,10
8,19
8,25
8,29
8,39
8,49
8,59
9,9
9,19
9,29
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,29
17,39
17,50
18,1
18,11
18,21
18,31
18,41
18,51
19,0
19,9
19,18
19,28
19,38
19,48
19,58
20,8
20,20
20,32
20,44
20,58
21,11
21,24
21,34
21,46
21,58
22,11
22,23
22,35
22,47
22,59
23,13
23,22
23,34
23,47
23,58
0,12
0,24
