hour,minute
5,15
5,46
6,4
6,12
6,22
6,30
6,37
6,47
6,57
7,5
7,10
7,15
7,19
7,24
7,29
7,33
7,38
7,42
7,46
7,50
7,54
7,58
8,2
8,6
8,10
8,15
8,19
8,24
8,28
8,34
8,40
8,44
8,49
8,54
9,0
9,7
9,14
9,20
9,26
9,34
9,43
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,42
17,49
17,57
18,4
18,12
18,19
18,27
18,35
18,43
18,51
18,58
19,5
19,12
19,19
19,26
19,33
19,40
19,48
19,56
20,4
20,10
20,15
20,23
20,31
20,40
20,49
20,58
21,4
21,9
21,19
21,30
21,38
21,43
21,55
22,6
22,18
22,31
22,38
22,44
22,54
23,7
23,21
23,30
23,44
23,57
0,10
0,18
0,31
0,43
0,54
