hour,minute
4,38
5,7
5,25
5,37
5,45
5,55
6,6
6,14
6,21
6,25
6,32
6,40
6,46
6,50
6,55
6,59
7,4
7,9
7,13
7,17
7,21
7,25
7,29
7,33
7,37
7,41
7,45
7,50
7,54
7,59
8,4
8,9
8,14
8,18
8,23
8,29
8,37
8,45
8,53
9,2
9,9
9,17
9,25
9,33
9,43
9,52
10,2
10,10
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,17
17,27
17,35
17,43
17,51
17,59
18,7
18,17
18,23
18,27
18,36
18,44
18,51
18,58
19,5
19,12
19,20
19,28
19,36
19,44
19,52
19,59
20,7
20,14
20,21
20,28
20,36
20,43
20,51
21,0
21,10
21,20
21,31
21,43
21,53
22,3
22,13
22,23
22,35
22,47
22,59
23,13
23,22
23,34
23,47
23,58
0,12
0,24
