hour,minute
4,51
5,9
5,22
5,33
5,43
5,51
5,59
6,2
6,12
6,17
6,23
6,28
6,34
6,40
6,45
6,53
7,4
7,10
7,15
7,20
7,26
7,31
7,36
7,41
7,46
7,52
7,56
8,1
8,4
8,9
8,14
8,20
8,25
8,34
8,41
8,47
8,53
8,57
9,2
9,12
9,20
9,26
9,31
9,39
9,47
9,55
10,1
10,7
10,21
10,27
10,41
10,47
11,1
11,7
11,21
11,27
11,41
11,47
12,1
12,7
12,21
12,27
12,41
12,47
13,1
13,7
13,21
13,27
13,41
13,47
14,1
14,7
14,21
14,27
14,41
14,47
15,1
15,7
15,21
15,27
15,41
15,48
15,56
16,2
16,10
16,16
16,24
16,32
16,41
16,48
16,54
17,1
17,8
17,15
17,20
17,28
17,34
17,39
17,43
17,49
17,54
18,2
18,8
18,12
18,19
18,26
18,32
18,39
18,45
18,52
18,58
19,4
19,11
19,19
19,28
19,35
19,42
19,50
19,56
20,1
20,7
20,12
20,18
20,26
20,31
20,38
20,45
20,53
21,1
21,8
21,16
21,23
21,35
21,45
21,54
22,3
22,13
22,22
22,33
22,42
22,54
23,5
23,16
23,24
23,34
23,44
23,53
0,1
0,9
0,27
