hour,minute
4,53
5,15
5,35
5,46
5,57
6,9
6,23
6,34
6,47
6,54
7,1
7,7
7,13
7,21
7,28
7,35
7,44
7,54
8,4
8,14
8,24
8,34
8,44
8,54
9,4
9,14
9,24
9,34
9,44
9,54
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,14
17,24
17,34
17,44
17,54
18,4
18,14
18,25
18,36
18,46
18,56
19,6
19,16
19,26
19,36
19,47
19,58
20,9
20,18
20,31
20,44
20,59
21,13
21,26
21,39
21,51
22,4
22,15
22,27
22,39
22,51
23,4
23,15
23,28
23,41
23,51
0,5
0,17
0,39
