hour,minute
5,5
5,35
5,51
6,2
6,19
6,31
6,41
6,51
7,1
7,11
7,21
7,31
7,41
7,49
7,58
8,8
8,18
8,28
8,38
8,48
8,58
9,8
9,18
9,28
9,38
9,48
9,58
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,58
17,8
17,18
17,29
17,40
17,50
18,0
18,4
18,10
18,20
18,25
18,30
18,39
18,48
18,58
19,7
19,17
19,27
19,37
19,47
19,59
20,11
20,23
20,37
20,50
21,3
21,14
21,25
21,38
21,51
22,3
22,15
22,26
22,39
22,53
23,2
23,14
23,27
23,38
23,51
0,3
0,16
0,29
0,40
