hour,minute
4,53
5,15
5,35
5,53
6,6
6,18
6,26
6,34
6,40
6,44
6,48
6,52
6,56
7,0
7,5
7,9
7,14
7,19
7,24
7,28
7,32
7,37
7,41
7,46
7,51
7,55
8,0
8,4
8,8
8,12
8,16
8,20
8,26
8,33
8,41
8,50
8,57
9,5
9,15
9,21
9,28
9,35
9,41
9,47
9,55
10,4
10,14
10,24
10,34
10,44
10,54
11,4
11,14
11,24
11,34
11,44
11,54
12,4
12,14
12,24
12,34
12,44
12,54
13,4
13,14
13,24
13,34
13,44
13,54
14,4
14,14
14,24
14,34
14,44
14,54
15,4
15,14
15,24
15,34
15,44
15,54
16,4
16,14
16,24
16,34
16,44
16,54
17,4
17,14
17,24
17,34
17,44
17,54
18,2
18,10
18,17
18,25
18,32
18,40
18,48
18,56
19,4
19,12
19,19
19,26
19,33
19,40
19,47
19,54
20,1
20,9
20,17
20,25
20,36
20,44
20,52
21,1
21,9
21,19
21,30
21,40
21,51
22,3
22,15
22,26
22,39
22,51
23,4
23,15
23,28
23,41
23,51
0,5
0,17
0,39
