hour,minute
5,5
5,24
5,46
6,4
6,19
6,29
6,38
6,47
6,52
7,0
7,4
7,8
7,12
7,16
7,20
7,24
7,29
7,33
7,38
7,43
7,48
7,53
7,57
8,2
8,8
8,11
8,16
8,19
8,24
8,28
8,32
8,36
8,41
8,48
8,56
9,4
9,12
9,22
9,31
9,41
9,49
9,58
10,8
10,18
10,28
10,38
10,48
10,58
11,8
11,18
11,28
11,38
11,48
11,58
12,8
12,18
12,28
12,38
12,48
12,58
13,8
13,18
13,28
13,38
13,48
13,58
14,8
14,18
14,28
14,38
14,48
14,58
15,8
15,18
15,28
15,38
15,48
15,58
16,8
16,18
16,28
16,38
16,48
16,55
17,1
17,6
17,14
17,22
17,30
17,38
17,47
17,57
18,6
18,15
18,23
18,30
18,37
18,44
18,52
19,0
19,8
19,16
19,24
19,31
19,38
19,46
19,53
20,0
20,8
20,15
20,23
20,31
20,40
20,49
20,59
21,9
21,16
21,22
21,32
21,42
21,52
22,3
22,15
22,26
22,39
22,53
23,2
23,14
23,27
23,38
23,51
0,3
0,16
0,29
0,40
