station,line,destination,day_type,csv,last_update,error_code,url
川崎,東海道本線,横浜・小田原方面 ,平日,nambu_0.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526010p.html
川崎,東海道本線,横浜・小田原方面 ,土・休日,nambu_1.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526011p.html
川崎,東海道本線(上野東京ライン),東京・宇都宮・高崎方面 ,平日,nambu_2.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526020p.html
川崎,東海道本線(上野東京ライン),東京・宇都宮・高崎方面 ,土・休日,nambu_3.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526021p.html
川崎,南武線,登戸・立川方面 ,平日,nambu_4.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526030p.html
川崎,南武線,登戸・立川方面 ,土・休日,nambu_5.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526031p.html
川崎,京浜東北線・根岸線,横浜・関内方面 ,平日,nambu_6.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526040p.html
川崎,京浜東北線・根岸線,横浜・関内方面 ,土・休日,nambu_7.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526041p.html
川崎,京浜東北線・根岸線,蒲田・品川方面 ,平日,nambu_8.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526050p.html
川崎,京浜東北線・根岸線,蒲田・品川方面 ,土・休日,nambu_9.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0526/0526051p.html
尻手,南武線,登戸・立川方面 ,平日,nambu_10.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0786/0786010p.html
尻手,南武線,登戸・立川方面 ,土・休日,nambu_11.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0786/0786011p.html
尻手,南武線,川崎方面 ,平日,nambu_12.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0786/0786020p.html
尻手,南武線,川崎方面 ,土・休日,nambu_13.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0786/0786021p.html
尻手,南武線,浜川崎方面 ,平日,nambu_14.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0786/0786030p.html
尻手,南武線,浜川崎方面 ,土・休日,nambu_15.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt0786/0786031p.html
矢向,南武線,登戸・立川方面 ,平日,nambu_16.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1575/1575010p.html
矢向,南武線,登戸・立川方面 ,土・休日,nambu_17.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1575/1575011p.html
矢向,南武線,川崎方面 ,平日,nambu_18.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1575/1575020p.html
矢向,南武線,川崎方面 ,土・休日,nambu_19.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1575/1575021p.html
鹿島田,南武線,登戸・立川方面 ,平日,nambu_20.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt0432/0432010p.html
鹿島田,南武線,登戸・立川方面 ,土・休日,nambu_21.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0432/0432011p.html
鹿島田,南武線,川崎方面 ,平日,nambu_22.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0432/0432020p.html
鹿島田,南武線,川崎方面 ,土・休日,nambu_23.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt0432/0432021p.html
平間,南武線,登戸・立川方面 ,平日,nambu_24.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1341/1341010p.html
平間,南武線,登戸・立川方面 ,土・休日,nambu_25.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1341/1341011p.html
平間,南武線,川崎方面 ,平日,nambu_26.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1341/1341020p.html
平間,南武線,川崎方面 ,土・休日,nambu_27.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1341/1341021p.html
向河原,南武線,登戸・立川方面 ,平日,nambu_28.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1521/1521010p.html
向河原,南武線,登戸・立川方面 ,土・休日,nambu_29.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1521/1521011p.html
向河原,南武線,川崎方面 ,平日,nambu_30.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1521/1521020p.html
向河原,南武線,川崎方面 ,土・休日,nambu_31.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1521/1521021p.html
武蔵小杉,南武線,登戸・立川方面 ,平日,nambu_32.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527010p.html
武蔵小杉,南武線,登戸・立川方面 ,土・休日,nambu_33.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527011p.html
武蔵小杉,南武線,川崎方面 ,平日,nambu_34.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527020p.html
武蔵小杉,南武線,川崎方面 ,土・休日,nambu_35.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527021p.html
武蔵小杉,湘南新宿ライン,横浜・大船方面 ,平日,nambu_36.csv,2021-12-19,24,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527030p.html
武蔵小杉,湘南新宿ライン,横浜・大船方面 ,土・休日,nambu_37.csv,2021-12-19,24,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527031p.html
武蔵小杉,湘南新宿ライン,高崎・宇都宮方面 ,平日,nambu_38.csv,2021-12-19,24,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527040p.html
武蔵小杉,湘南新宿ライン,高崎・宇都宮方面 ,土・休日,nambu_39.csv,2021-12-19,24,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527041p.html
武蔵小杉,横須賀線,横浜・鎌倉方面 ,平日,nambu_40.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527050p.html
武蔵小杉,横須賀線,横浜・鎌倉方面 ,土・休日,nambu_41.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527051p.html
武蔵小杉,横須賀線,東京方面 ,平日,nambu_42.csv,2021-12-19,2,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527060p.html
武蔵小杉,横須賀線,東京方面 ,土・休日,nambu_43.csv,2021-12-19,12,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527061p.html
武蔵小杉,相鉄線直通,相鉄線方面 ,平日,nambu_44.csv,2021-12-19,24,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527910p.html
武蔵小杉,相鉄線直通,相鉄線方面 ,土・休日,nambu_45.csv,2021-12-19,24,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527911p.html
武蔵小杉,相鉄線直通,埼京線方面 ,平日,nambu_46.csv,2021-12-19,28,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527920p.html
武蔵小杉,相鉄線直通,埼京線方面 ,土・休日,nambu_47.csv,2021-12-19,28,https://www.jreast-timetable.jp/2112/timetable/tt1527/1527921p.html
武蔵中原,南武線,登戸・立川方面 ,平日,nambu_48.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1532/1532010p.html
武蔵中原,南武線,登戸・立川方面 ,土・休日,nambu_49.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1532/1532011p.html
武蔵中原,南武線,川崎方面 ,平日,nambu_50.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1532/1532020p.html
武蔵中原,南武線,川崎方面 ,土・休日,nambu_51.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1532/1532021p.html
武蔵新城,南武線,登戸・立川方面 ,平日,nambu_52.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1530/1530010p.html
武蔵新城,南武線,登戸・立川方面 ,土・休日,nambu_53.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1530/1530011p.html
武蔵新城,南武線,川崎方面 ,平日,nambu_54.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1530/1530020p.html
武蔵新城,南武線,川崎方面 ,土・休日,nambu_55.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1530/1530021p.html
武蔵溝ノ口,南武線,登戸・立川方面 ,平日,nambu_56.csv,2021-12-19,0,https://www.jreast-timetable.jp/2112/timetable/tt1535/1535010p.html
武蔵溝ノ口,南武線,登戸・立川方面 ,土・休日,nambu_57.csv,2021-12-19,8,https://www.jreast-timetable.jp/2112/timetable/tt1535/1535011p.html
