hour,minute
4,38
5,0
5,20
5,31
5,42
5,54
6,8
6,18
6,31
6,38
6,45
6,52
6,58
7,5
7,12
7,19
7,29
7,39
7,24
7,95
8,9
8,19
8,29
8,39
8,49
8,59
9,9
9,19
9,29
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,29
17,39
17,49
17,59
18,9
18,21
18,31
18,41
18,51
19,1
19,11
19,21
19,32
19,43
19,54
20,3
20,16
20,29
20,44
20,58
21,11
21,24
21,36
21,49
22,0
22,12
22,24
22,36
22,49
23,0
23,13
23,26
23,36
23,50
0,2
0,23
