hour,minute
5,20
5,50
6,6
6,18
6,35
6,46
6,56
7,6
7,16
7,26
7,36
7,46
7,56
8,5
8,13
8,23
8,33
8,43
8,53
9,3
9,13
9,23
9,33
9,43
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,44
17,55
18,5
18,15
18,20
18,25
18,35
18,40
18,45
18,55
19,3
19,13
19,22
19,32
19,42
19,52
20,2
20,14
20,26
20,38
20,52
21,5
21,18
21,29
21,40
21,53
22,6
22,18
22,30
22,41
22,54
23,8
23,17
23,29
23,42
23,53
0,6
0,18
0,31
0,44
0,55
