hour,minute
4,38
5,0
5,20
5,38
5,51
6,3
6,10
6,18
6,24
6,28
6,32
6,36
6,40
6,44
6,49
6,53
6,58
7,3
7,8
7,12
7,16
7,21
7,25
7,30
7,35
7,39
7,44
7,48
7,52
7,56
8,0
8,4
8,10
8,17
8,25
8,34
8,41
8,50
9,0
9,6
9,13
9,19
9,25
9,32
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,29
17,39
17,47
17,55
18,2
18,10
18,17
18,25
18,33
18,41
18,49
18,57
19,4
19,11
19,18
19,25
19,32
19,39
19,46
19,54
20,2
20,10
20,21
20,29
20,37
20,46
20,54
21,4
21,15
21,25
21,36
21,48
22,0
22,11
22,24
22,36
22,49
23,0
23,13
23,26
23,36
23,50
0,2
0,23
