hour,minute
5,20
5,39
6,1
6,20
6,35
6,45
6,54
7,2
7,8
7,15
7,20
7,24
7,28
7,32
7,36
7,40
7,44
7,49
7,53
7,58
8,3
8,9
8,12
8,17
8,23
8,27
8,31
8,35
8,40
8,44
8,48
8,52
8,56
9,4
9,11
9,19
9,28
9,37
9,47
9,57
10,5
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,11
17,16
17,22
17,30
17,37
17,45
17,53
18,2
18,12
18,21
18,30
18,38
18,45
18,52
18,59
19,7
19,15
19,23
19,31
19,39
19,46
19,53
20,1
20,8
20,15
20,23
20,30
20,38
20,46
20,55
21,4
21,14
21,24
21,31
21,37
21,47
21,57
22,7
22,18
22,30
22,41
22,54
23,8
23,17
23,29
23,42
23,53
0,6
0,18
0,31
0,44
0,55
