hour,minute
4,47
4,59
5,21
5,43
5,55
6,3
6,15
6,29
6,42
6,54
7,2
7,8
7,15
7,22
7,28
7,35
7,42
7,51
8,1
8,11
8,21
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,22
17,32
17,43
17,51
18,2
18,12
18,23
18,33
18,42
18,52
19,2
19,12
19,22
19,32
19,42
19,53
20,5
20,24
20,37
20,50
21,6
21,19
21,32
21,45
21,57
22,10
22,21
22,33
22,45
22,57
23,10
23,21
23,34
23,47
23,57
0,11
0,24
