hour,minute
5,0
5,30
5,46
5,57
6,14
6,25
6,35
6,45
6,55
7,5
7,15
7,25
7,35
7,44
7,52
8,2
8,12
8,22
8,32
8,42
8,52
9,2
9,12
9,22
9,32
9,42
9,52
10,2
10,12
10,22
10,32
10,42
10,52
11,2
11,12
11,22
11,32
11,42
11,52
12,2
12,12
12,22
12,32
12,42
12,52
13,2
13,12
13,22
13,32
13,42
13,52
14,2
14,12
14,22
14,32
14,42
14,52
15,2
15,12
15,22
15,32
15,42
15,52
16,2
16,12
16,22
16,32
16,42
16,52
17,2
17,12
17,23
17,34
17,44
17,54
17,59
18,4
18,14
18,19
18,24
18,34
18,43
18,52
19,2
19,12
19,22
19,32
19,42
19,54
20,6
20,18
20,32
20,45
20,58
21,8
21,20
21,32
21,45
21,57
22,9
22,21
22,33
22,47
22,56
23,8
23,21
23,32
23,46
23,58
0,11
0,24
0,35
