hour,minute
4,47
4,59
5,21
5,41
5,59
6,14
6,24
6,33
6,40
6,51
6,59
7,7
7,16
7,26
7,35
7,41
7,48
7,55
8,2
8,11
8,19
8,27
8,34
8,41
8,49
8,57
9,5
9,14
9,24
9,28
9,35
9,42
9,49
9,54
10,2
10,12
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,53
17,1
17,13
17,22
17,31
17,40
17,51
18,0
18,8
18,16
18,23
18,31
18,38
18,46
18,54
19,2
19,10
19,18
19,25
19,32
19,39
19,46
19,53
20,0
20,8
20,15
20,24
20,32
20,42
20,51
21,1
21,8
21,25
21,36
21,46
21,57
22,9
22,21
22,32
22,45
22,57
23,10
23,21
23,34
23,47
23,57
0,11
0,24
